#,Date,Airport,Business Jet,Business Aviation,Departures,Arrivals,Total Operations,Departure Seats,Average Departure Seats,Arrival Seats,Average Arrival Seats
1181,08/2012,LAS - Las Vegas,No,No,"15,507","15,516","31,023","2,132,505",137,"2,133,139",137
1182,08/2012,LAS - Las Vegas,No,Yes,297,288,585,"2,293",7,"2,233",7
Sub-Total for No,,,,,"15,804","15,804","31,608","2,134,798",135,"2,135,372",135
1183,08/2012,LAS - Las Vegas,Yes,Yes,"1,610","1,610","3,220","16,907",10,"16,872",10
Sub-Total for Yes,,,,,"1,907","1,898","3,805","19,200",10,"19,105",10
Sub-Total for LAS - Las Vegas,,,,,"17,414","17,414","34,828","2,151,705",123,"2,152,244",123
1184,08/2012,LAX - Los Angeles,No,No,"26,348","26,254","52,602","3,741,273",141,"3,729,382",142
1185,08/2012,LAX - Los Angeles,No,Yes,51,47,98,352,6,325,6
Sub-Total for No,,,,,"26,399","26,301","52,700","3,741,625",141,"3,729,707",141
1186,08/2012,LAX - Los Angeles,Yes,Yes,735,729,"1,464","8,430",11,"8,350",11
Sub-Total for Yes,,,,,786,776,"1,562","8,782",11,"8,675",11
Sub-Total for LAX - Los Angeles,,,,,"27,134","27,030","54,164","3,750,055",138,"3,738,057",138
1187,08/2012,LGA - New York,No,No,"15,996","16,033","32,029","1,613,824",100,"1,615,721",100
1188,08/2012,LGA - New York,No,Yes,49,60,109,367,7,471,7
Sub-Total for No,,,,,"16,045","16,093","32,138","1,614,191",100,"1,616,192",100
1189,08/2012,LGA - New York,Yes,Yes,247,240,487,"2,782",11,"2,701",11
Sub-Total for Yes,,,,,296,300,596,"3,149",10,"3,172",10
Sub-Total for LGA - New York,,,,,"16,292","16,333","32,625","1,616,973",99,"1,618,893",99
1190,08/2012,MCO - Orlando,No,No,"11,713","11,700","23,413","1,704,700",145,"1,703,657",145
1191,08/2012,MCO - Orlando,No,Yes,163,158,321,735,4,710,4
Sub-Total for No,,,,,"11,876","11,858","23,734","1,705,435",143,"1,704,367",143
1192,08/2012,MCO - Orlando,Yes,Yes,494,483,977,"4,778",9,"4,631",9
Sub-Total for Yes,,,,,657,641,"1,298","5,513",8,"5,341",8
Sub-Total for MCO - Orlando,,,,,"12,370","12,341","24,711","1,710,213",138,"1,708,998",138
1193,08/2012,MIA - Miami,No,No,"14,636","14,626","29,262","2,299,802",157,"2,306,280",157
1194,08/2012,MIA - Miami,No,Yes,156,130,286,"1,209",7,"1,022",7
Sub-Total for No,,,,,"14,792","14,756","29,548","2,301,011",155,"2,307,302",156
1195,08/2012,MIA - Miami,Yes,Yes,533,576,"1,109","5,638",10,"5,967",10
Sub-Total for Yes,,,,,689,706,"1,395","6,847",9,"6,989",9
Sub-Total for MIA - Miami,,,,,"15,325","15,332","30,657","2,306,649",150,"2,313,269",150
1196,08/2012,MSP - Minneapolis,No,No,"18,640","18,654","37,294","1,897,669",101,"1,898,377",101
1197,08/2012,MSP - Minneapolis,No,Yes,234,231,465,"1,166",4,"1,167",5
Sub-Total for No,,,,,"18,874","18,885","37,759","1,898,835",100,"1,899,544",100
1198,08/2012,MSP - Minneapolis,Yes,Yes,671,672,"1,343","7,216",10,"7,218",10
Sub-Total for Yes,,,,,905,903,"1,808","8,382",9,"8,385",9
Sub-Total for MSP - Minneapolis,,,,,"19,545","19,557","39,102","1,906,051",97,"1,906,762",97
1199,08/2012,ORD - Chicago,No,No,"39,237","39,247","78,484","3,922,314",99,"3,925,621",100
1200,08/2012,ORD - Chicago,No,Yes,205,205,410,"2,266",11,"2,259",11
Sub-Total for No,,,,,"39,442","39,452","78,894","3,924,580",99,"3,927,880",99
1201,08/2012,ORD - Chicago,Yes,Yes,390,381,771,"4,171",10,"4,069",10
Sub-Total for Yes,,,,,595,586,"1,181","6,437",10,"6,328",10
Sub-Total for ORD - Chicago,,,,,"39,832","39,833","79,665","3,928,751",98,"3,931,949",98
1202,08/2012,PHL - Philadelphia,No,No,"18,737","18,671","37,408","1,713,085",91,"1,713,082",91
1203,08/2012,PHL - Philadelphia,No,Yes,182,174,356,"1,094",6,"1,060",6
Sub-Total for No,,,,,"18,919","18,845","37,764","1,714,179",90,"1,714,142",90
1204,08/2012,PHL - Philadelphia,Yes,Yes,639,642,"1,281","6,733",10,"6,782",10
Sub-Total for Yes,,,,,821,816,"1,637","7,827",9,"7,842",9
Sub-Total for PHL - Philadelphia,,,,,"19,558","19,487","39,045","1,720,912",87,"1,720,924",88
1205,08/2012,PHX - Phoenix,No,No,"17,498","17,229","34,727","2,090,341",119,"2,082,878",120
1206,08/2012,PHX - Phoenix,No,Yes,614,485,"1,099","2,531",4,"1,885",3
Sub-Total for No,,,,,"18,112","17,714","35,826","2,092,872",115,"2,084,763",117
1207,08/2012,PHX - Phoenix,Yes,Yes,482,474,956,"4,709",9,"4,597",9
Sub-Total for Yes,,,,,"1,096",959,"2,055","7,240",6,"6,482",6
Sub-Total for PHX - Phoenix,,,,,"18,594","18,188","36,782","2,097,581",112,"2,089,360",114
1208,08/2012,SEA - Seattle,No,No,"14,415","14,436","28,851","1,924,097",133,"1,926,820",133
1209,08/2012,SEA - Seattle,No,Yes,111,119,230,95,0,71,0
Sub-Total for No,,,,,"14,526","14,555","29,081","1,924,192",132,"1,926,891",132
1210,08/2012,SEA - Seattle,Yes,Yes,85,88,173,873,10,920,10
Sub-Total for Yes,,,,,196,207,403,968,4,991,4
Sub-Total for SEA - Seattle,,,,,"14,611","14,643","29,254","1,925,065",131,"1,927,811",131
1211,08/2012,SFO - San Francisco,No,No,"18,394","18,334","36,728","2,557,296",139,"2,549,250",139
1212,08/2012,SFO - San Francisco,No,Yes,144,138,282,975,6,927,6
Sub-Total for No,,,,,"18,538","18,472","37,010","2,558,271",138,"2,550,177",138
1213,08/2012,SFO - San Francisco,Yes,Yes,838,830,"1,668","9,422",11,"9,310",11
Sub-Total for Yes,,,,,982,968,"1,950","10,397",10,"10,237",10
Sub-Total for SFO - San Francisco,,,,,"19,376","19,302","38,678","2,567,693",132,"2,559,487",132
Sub-Total for 08/2012,,,,,"436,511","434,909","871,420","50,170,751",114,"50,162,177",115
1214,09/2012,ATL - Atlanta,No,No,"37,020","36,942","73,962","4,857,260",131,"4,850,758",131
1215,09/2012,ATL - Atlanta,No,Yes,177,166,343,"2,026",11,"1,938",11
Sub-Total for No,,,,,"37,197","37,108","74,305","4,859,286",130,"4,852,696",130
1216,09/2012,ATL - Atlanta,Yes,Yes,211,214,425,"2,218",10,"2,248",10
Sub-Total for Yes,,,,,388,380,768,"4,244",10,"4,186",11
Sub-Total for ATL - Atlanta,,,,,"37,408","37,322","74,730","4,861,504",129,"4,854,944",130
1217,09/2012,BOS - Boston,No,No,"12,145","11,922","24,067","1,535,275",126,"1,535,099",128
1218,09/2012,BOS - Boston,No,Yes,"2,076","1,465","3,541","9,026",4,"6,602",4
Sub-Total for No,,,,,"14,221","13,387","27,608","1,544,301",108,"1,541,701",115
1219,09/2012,BOS - Boston,Yes,Yes,939,947,"1,886","10,523",11,"10,644",11
Sub-Total for Yes,,,,,"3,015","2,412","5,427","19,549",6,"17,246",7
Sub-Total for BOS - Boston,,,,,"15,160","14,334","29,494","1,554,824",102,"1,552,345",108
1220,09/2012,CLT - Charlotte,Unknown,Unknown,0,1,1,0,0,0,0
1221,09/2012,CLT - Charlotte,No,No,"20,237","20,240","40,477","2,023,679",99,"2,023,478",99
1222,09/2012,CLT - Charlotte,No,Yes,360,366,726,"2,399",6,"2,452",6
Sub-Total for No,,,,,"20,597","20,606","41,203","2,026,078",98,"2,025,930",98
1223,09/2012,CLT - Charlotte,Yes,Yes,791,799,"1,590","8,886",11,"8,958",11
Sub-Total for Yes,,,,,"1,151","1,165","2,316","11,285",9,"11,410",9
Sub-Total for CLT - Charlotte,,,,,"21,388","21,406","42,794","2,034,964",95,"2,034,888",95
1224,09/2012,DEN - Denver,No,No,"24,814","24,757","49,571","2,590,387",104,"2,585,401",104
1225,09/2012,DEN - Denver,No,Yes,171,154,325,"1,262",7,"1,181",7
Sub-Total for No,,,,,"24,985","24,911","49,896","2,591,649",103,"2,586,582",103
1226,09/2012,DEN - Denver,Yes,Yes,169,164,333,"1,984",11,"1,922",11
Sub-Total for Yes,,,,,340,318,658,"3,246",9,"3,103",9
Sub-Total for DEN - Denver,,,,,"25,154","25,075","50,229","2,593,633",103,"2,588,504",103
1227,09/2012,DFW - Dallas/Ft. Worth,No,No,"26,151","26,057","52,208","3,075,647",117,"3,070,236",117
1228,09/2012,DFW - Dallas/Ft. Worth,No,Yes,153,145,298,"1,634",10,"1,470",10
Sub-Total for No,,,,,"26,304","26,202","52,506","3,077,281",116,"3,071,706",117
1229,09/2012,DFW - Dallas/Ft. Worth,Yes,Yes,216,207,423,"2,250",10,"2,141",10
Sub-Total for Yes,,,,,369,352,721,"3,884",10,"3,611",10
Sub-Total for DFW - Dallas/Ft. Worth,,,,,"26,520","26,409","52,929","3,079,531",116,"3,073,847",116
1230,09/2012,DTW - Detroit,No,No,"16,955","16,920","33,875","1,632,115",96,"1,628,152",96
1231,09/2012,DTW - Detroit,No,Yes,99,93,192,638,6,599,6
Sub-Total for No,,,,,"17,054","17,013","34,067","1,632,753",95,"1,628,751",95
1232,09/2012,DTW - Detroit,Yes,Yes,240,246,486,"2,480",10,"2,560",10
Sub-Total for Yes,,,,,339,339,678,"3,118",9,"3,159",9
Sub-Total for DTW - Detroit,,,,,"17,294","17,259","34,553","1,635,233",94,"1,631,311",94
1233,09/2012,EWR - Newark,No,No,"16,017","16,046","32,063","1,839,938",114,"1,844,326",114
1234,09/2012,EWR - Newark,No,Yes,207,207,414,"1,810",8,"1,814",8
Sub-Total for No,,,,,"16,224","16,253","32,477","1,841,748",113,"1,846,140",113
1235,09/2012,EWR - Newark,Yes,Yes,271,271,542,"2,986",11,"2,995",11
Sub-Total for Yes,,,,,478,478,956,"4,796",10,"4,809",10
Sub-Total for EWR - Newark,,,,,"16,495","16,524","33,019","1,844,734",111,"1,849,135",111
1236,09/2012,IAH - Houston,No,No,"19,061","18,802","37,863","1,972,275",103,"1,943,905",103
1237,09/2012,IAH - Houston,No,Yes,135,133,268,"1,293",9,"1,274",9
Sub-Total for No,,,,,"19,196","18,935","38,131","1,973,568",102,"1,945,179",102
1238,09/2012,IAH - Houston,Yes,Yes,516,515,"1,031","5,818",11,"5,812",11
Sub-Total for Yes,,,,,651,648,"1,299","7,111",10,"7,086",10
Sub-Total for IAH - Houston,,,,,"19,712","19,450","39,162","1,979,386",100,"1,950,991",100
1239,09/2012,JFK - New York,No,No,"16,729","16,768","33,497","2,811,880",168,"2,816,471",167
1240,09/2012,JFK - New York,No,Yes,48,52,100,372,7,393,7
Sub-Total for No,,,,,"16,777","16,820","33,597","2,812,252",167,"2,816,864",167
1241,09/2012,JFK - New York,Yes,Yes,257,256,513,"2,797",10,"2,762",10
Sub-Total for Yes,,,,,305,308,613,"3,169",10,"3,155",10
Sub-Total for JFK - New York,,,,,"17,034","17,076","34,110","2,815,049",165,"2,819,626",165
1242,09/2012,LAS - Las Vegas,No,No,"14,805","14,777","29,582","2,053,627",138,"2,052,383",138
1243,09/2012,LAS - Las Vegas,No,Yes,311,304,615,"2,307",7,"2,278",7
Sub-Total for No,,,,,"15,116","15,081","30,197","2,055,934",136,"2,054,661",136
1244,09/2012,LAS - Las Vegas,Yes,Yes,"2,087","2,047","4,134","22,397",10,"22,014",10
Sub-Total for Yes,,,,,"2,398","2,351","4,749","24,704",10,"24,292",10
Sub-Total for LAS - Las Vegas,,,,,"17,203","17,128","34,331","2,078,331",120,"2,076,675",121
1245,09/2012,LAX - Los Angeles,No,No,"23,592","23,491","47,083","3,366,225",142,"3,350,279",142
1246,09/2012,LAX - Los Angeles,No,Yes,48,51,99,362,7,361,7
Sub-Total for No,,,,,"23,640","23,542","47,182","3,366,587",142,"3,350,640",142
1247,09/2012,LAX - Los Angeles,Yes,Yes,685,687,"1,372","7,911",11,"7,992",11
Sub-Total for Yes,,,,,733,738,"1,471","8,273",11,"8,353",11
Sub-Total for LAX - Los Angeles,,,,,"24,325","24,229","48,554","3,374,498",138,"3,358,632",138
1248,09/2012,LGA - New York,No,No,"14,966","15,006","29,972","1,524,040",101,"1,526,893",101
1249,09/2012,LGA - New York,No,Yes,52,54,106,429,8,425,7
Sub-Total for No,,,,,"15,018","15,060","30,078","1,524,469",101,"1,527,318",101
1250,09/2012,LGA - New York,Yes,Yes,324,330,654,"3,643",11,"3,752",11
Sub-Total for Yes,,,,,376,384,760,"4,072",10,"4,177",10
Sub-Total for LGA - New York,,,,,"15,342","15,390","30,732","1,528,112",99,"1,531,070",99
1251,09/2012,MCO - Orlando,No,No,"10,037","10,032","20,069","1,468,472",146,"1,470,121",146
1252,09/2012,MCO - Orlando,No,Yes,141,155,296,651,4,710,4
Sub-Total for No,,,,,"10,178","10,187","20,365","1,469,123",144,"1,470,831",144
1253,09/2012,MCO - Orlando,Yes,Yes,446,436,882,"4,279",9,"4,191",9
Sub-Total for Yes,,,,,587,591,"1,178","4,930",8,"4,901",8
Sub-Total for MCO - Orlando,,,,,"10,624","10,623","21,247","1,473,402",138,"1,475,022",138
1254,09/2012,MIA - Miami,No,No,"13,376","13,364","26,740","2,113,762",158,"2,119,218",158
1255,09/2012,MIA - Miami,No,Yes,153,129,282,"1,169",7,926,7
Sub-Total for No,,,,,"13,529","13,493","27,022","2,114,931",156,"2,120,144",157
1256,09/2012,MIA - Miami,Yes,Yes,550,577,"1,127","5,741",10,"6,043",10
Sub-Total for Yes,,,,,703,706,"1,409","6,910",9,"6,969",9
Sub-Total for MIA - Miami,,,,,"14,079","14,070","28,149","2,120,672",150,"2,126,187",151
1257,09/2012,MSP - Minneapolis,No,No,"16,267","16,261","32,528","1,646,635",101,"1,647,756",101
1258,09/2012,MSP - Minneapolis,No,Yes,181,179,360,934,5,938,5
Sub-Total for No,,,,,"16,448","16,440","32,888","1,647,569",100,"1,648,694",100
1259,09/2012,MSP - Minneapolis,Yes,Yes,581,582,"1,163","6,492",11,"6,493",11
Sub-Total for Yes,,,,,762,761,"1,523","7,426",9,"7,431",9
Sub-Total for MSP - Minneapolis,,,,,"17,029","17,022","34,051","1,654,061",97,"1,655,187",97
1260,09/2012,ORD - Chicago,Unknown,Unknown,1,0,1,0,0,0,0
1261,09/2012,ORD - Chicago,No,No,"36,011","35,946","71,957","3,627,325",100,"3,622,339",100
1262,09/2012,ORD - Chicago,No,Yes,209,209,418,"2,303",11,"2,317",11
Sub-Total for No,,,,,"36,220","36,155","72,375","3,629,628",100,"3,624,656",100
1263,09/2012,ORD - Chicago,Yes,Yes,458,455,913,"5,149",11,"5,101",11
Sub-Total for Yes,,,,,667,664,"1,331","7,452",11,"7,418",11
Sub-Total for ORD - Chicago,,,,,"36,679","36,610","73,289","3,634,777",99,"3,629,757",99
1264,09/2012,PHL - Philadelphia,No,No,"17,234","17,199","34,433","1,559,739",90,"1,565,841",91
1265,09/2012,PHL - Philadelphia,No,Yes,183,169,352,"1,188",6,"1,100",6
Sub-Total for No,,,,,"17,417","17,368","34,785","1,560,927",89,"1,566,941",90
1266,09/2012,PHL - Philadelphia,Yes,Yes,650,660,"1,310","6,975",10,"7,055",10
Sub-Total for Yes,,,,,833,829,"1,662","8,163",9,"8,155",9
Sub-Total for PHL - Philadelphia,,,,,"18,067","18,028","36,095","1,567,902",86,"1,573,996",87
1267,09/2012,PHX - Phoenix,No,No,"15,994","15,623","31,617","1,910,608",119,"1,903,721",121
1268,09/2012,PHX - Phoenix,No,Yes,530,415,945,"2,356",4,"1,779",4
Sub-Total for No,,,,,"16,524","16,038","32,562","1,912,964",115,"1,905,500",118
1269,09/2012,PHX - Phoenix,Yes,Yes,456,462,918,"4,190",9,"4,286",9
Sub-Total for Yes,,,,,986,877,"1,863","6,546",6,"6,065",6
Sub-Total for PHX - Phoenix,,,,,"16,980","16,500","33,480","1,917,154",112,"1,909,786",115
1270,09/2012,SEA - Seattle,No,No,"12,883","12,867","25,750","1,699,879",131,"1,696,732",131
1271,09/2012,SEA - Seattle,No,Yes,100,113,213,172,1,183,1
Sub-Total for No,,,,,"12,983","12,980","25,963","1,700,051",130,"1,696,915",130
1272,09/2012,SEA - Seattle,Yes,Yes,72,74,146,806,11,818,11
Sub-Total for Yes,,,,,172,187,359,978,5,"1,001",5
Sub-Total for SEA - Seattle,,,,,"13,055","13,054","26,109","1,700,857",130,"1,697,733",130
1273,09/2012,SFO - San Francisco,No,No,"16,726","16,712","33,438","2,325,182",139,"2,322,312",138
1274,09/2012,SFO - San Francisco,No,Yes,130,125,255,856,6,818,6
Sub-Total for No,,,,,"16,856","16,837","33,693","2,326,038",137,"2,323,130",137
1275,09/2012,SFO - San Francisco,Yes,Yes,737,739,"1,476","8,330",11,"8,417",11
Sub-Total for Yes,,,,,867,864,"1,731","9,186",10,"9,235",10
Sub-Total for SFO - San Francisco,,,,,"17,593","17,576","35,169","2,334,368",132,"2,331,547",132
Sub-Total for 09/2012,,,,,"397,141","395,085","792,226","45,782,992",115,"45,721,183",115
1276,10/2012,ATL - Atlanta,No,No,"38,628","38,497","77,125","5,081,351",131,"5,073,782",131
1277,10/2012,ATL - Atlanta,No,Yes,166,161,327,"1,768",10,"1,732",10
Sub-Total for No,,,,,"38,794","38,658","77,452","5,083,119",131,"5,075,514",131
1278,10/2012,ATL - Atlanta,Yes,Yes,213,211,424,"2,100",9,"2,108",9
Sub-Total for Yes,,,,,379,372,751,"3,868",10,"3,840",10
Sub-Total for ATL - Atlanta,,,,,"39,007","38,869","77,876","5,085,219",130,"5,077,622",130
1279,10/2012,BOS - Boston,No,No,"11,806","11,693","23,499","1,492,278",126,"1,494,169",127
1280,10/2012,BOS - Boston,No,Yes,"1,664","1,250","2,914","7,506",4,"5,813",4
Sub-Total for No,,,,,"13,470","12,943","26,413","1,499,784",111,"1,499,982",115
1281,10/2012,BOS - Boston,Yes,Yes,978,962,"1,940","10,756",10,"10,584",11
Sub-Total for Yes,,,,,"2,642","2,212","4,854","18,262",6,"16,397",7
Sub-Total for BOS - Boston,,,,,"14,448","13,905","28,353","1,510,540",104,"1,510,566",108
1282,10/2012,CLT - Charlotte,No,No,"21,358","21,361","42,719","2,124,022",99,"2,125,630",99
1283,10/2012,CLT - Charlotte,No,Yes,403,407,810,"2,764",6,"2,803",6
Sub-Total for No,,,,,"21,761","21,768","43,529","2,126,786",97,"2,128,433",97
1284,10/2012,CLT - Charlotte,Yes,Yes,941,941,"1,882","10,594",11,"10,552",11
Sub-Total for Yes,,,,,"1,344","1,348","2,692","13,358",9,"13,355",9
Sub-Total for CLT - Charlotte,,,,,"22,702","22,709","45,411","2,137,380",94,"2,138,985",94
1285,10/2012,DEN - Denver,No,No,"25,418","25,389","50,807","2,639,197",103,"2,637,597",103
1286,10/2012,DEN - Denver,No,Yes,167,159,326,"1,285",7,"1,239",7
Sub-Total for No,,,,,"25,585","25,548","51,133","2,640,482",103,"2,638,836",103
1287,10/2012,DEN - Denver,Yes,Yes,146,146,292,"1,744",11,"1,741",11
Sub-Total for Yes,,,,,313,305,618,"3,029",9,"2,980",9
Sub-Total for DEN - Denver,,,,,"25,731","25,694","51,425","2,642,226",102,"2,640,577",102
1288,10/2012,DFW - Dallas/Ft. Worth,No,No,"27,365","27,305","54,670","3,191,751",116,"3,181,451",116
1289,10/2012,DFW - Dallas/Ft. Worth,No,Yes,181,165,346,"1,928",10,"1,741",10
Sub-Total for No,,,,,"27,546","27,470","55,016","3,193,679",115,"3,183,192",115
1290,10/2012,DFW - Dallas/Ft. Worth,Yes,Yes,260,263,523,"2,746",10,"2,743",10
Sub-Total for Yes,,,,,441,428,869,"4,674",10,"4,484",10
Sub-Total for DFW - Dallas/Ft. Worth,,,,,"27,806","27,733","55,539","3,196,425",114,"3,185,935",114
1291,10/2012,DTW - Detroit,No,No,"17,809","17,800","35,609","1,702,325",95,"1,703,519",95
1292,10/2012,DTW - Detroit,No,Yes,49,51,100,296,6,317,6
Sub-Total for No,,,,,"17,858","17,851","35,709","1,702,621",95,"1,703,836",95
1293,10/2012,DTW - Detroit,Yes,Yes,302,293,595,"3,203",10,"3,124",10
Sub-Total for Yes,,,,,351,344,695,"3,499",9,"3,441",10
Sub-Total for DTW - Detroit,,,,,"18,160","18,144","36,304","1,705,824",93,"1,706,960",94
1294,10/2012,EWR - Newark,No,No,"15,488","15,442","30,930","1,763,326",113,"1,758,319",113
1295,10/2012,EWR - Newark,No,Yes,214,208,422,"1,888",8,"1,895",9
Sub-Total for No,,,,,"15,702","15,650","31,352","1,765,214",112,"1,760,214",112
1296,10/2012,EWR - Newark,Yes,Yes,235,229,464,"2,663",11,"2,603",11
Sub-Total for Yes,,,,,449,437,886,"4,551",10,"4,498",10
Sub-Total for EWR - Newark,,,,,"15,937","15,879","31,816","1,767,877",110,"1,762,817",111
1297,10/2012,IAH - Houston,No,No,"19,893","19,645","39,538","2,038,382",102,"2,012,338",102
1298,10/2012,IAH - Houston,No,Yes,239,229,468,"2,183",9,"2,133",9
Sub-Total for No,,,,,"20,132","19,874","40,006","2,040,565",101,"2,014,471",101
1299,10/2012,IAH - Houston,Yes,Yes,613,615,"1,228","6,928",11,"6,943",11
Sub-Total for Yes,,,,,852,844,"1,696","9,111",10,"9,076",10
Sub-Total for IAH - Houston,,,,,"20,745","20,489","41,234","2,047,493",98,"2,021,414",98
1300,10/2012,JFK - New York,No,No,"15,385","15,404","30,789","2,557,068",166,"2,553,537",165
1301,10/2012,JFK - New York,No,Yes,42,42,84,310,7,324,7
Sub-Total for No,,,,,"15,427","15,446","30,873","2,557,378",165,"2,553,861",165
1302,10/2012,JFK - New York,Yes,Yes,231,231,462,"2,416",10,"2,424",10
Sub-Total for Yes,,,,,273,273,546,"2,726",9,"2,748",10
Sub-Total for JFK - New York,,,,,"15,658","15,677","31,335","2,559,794",163,"2,556,285",163
1303,10/2012,LAS - Las Vegas,No,No,"15,540","15,509","31,049","2,165,864",139,"2,165,630",139
1304,10/2012,LAS - Las Vegas,No,Yes,362,320,682,"2,690",7,"2,441",7
Sub-Total for No,,,,,"15,902","15,829","31,731","2,168,554",136,"2,168,071",136
1305,10/2012,LAS - Las Vegas,Yes,Yes,"2,042","2,072","4,114","21,568",10,"21,802",10
Sub-Total for Yes,,,,,"2,404","2,392","4,796","24,258",10,"24,243",10
Sub-Total for LAS - Las Vegas,,,,,"17,944","17,901","35,845","2,190,122",122,"2,189,873",122
1306,10/2012,LAX - Los Angeles,No,No,"24,000","23,858","47,858","3,407,550",141,"3,389,250",142
1307,10/2012,LAX - Los Angeles,No,Yes,50,49,99,332,6,327,6
Sub-Total for No,,,,,"24,050","23,907","47,957","3,407,882",141,"3,389,577",141
1308,10/2012,LAX - Los Angeles,Yes,Yes,801,817,"1,618","9,343",11,"9,480",11
Sub-Total for Yes,,,,,851,866,"1,717","9,675",11,"9,807",11
Sub-Total for LAX - Los Angeles,,,,,"24,851","24,724","49,575","3,417,225",137,"3,399,057",137
1309,10/2012,LGA - New York,No,No,"14,695","14,602","29,297","1,477,672",100,"1,465,272",100
1310,10/2012,LGA - New York,No,Yes,59,54,113,476,8,437,8
Sub-Total for No,,,,,"14,754","14,656","29,410","1,478,148",100,"1,465,709",100
1311,10/2012,LGA - New York,Yes,Yes,288,283,571,"3,530",12,"3,465",12
Sub-Total for Yes,,,,,347,337,684,"4,006",11,"3,902",11
Sub-Total for LGA - New York,,,,,"15,042","14,939","29,981","1,481,678",98,"1,469,174",98
1312,10/2012,MCO - Orlando,No,No,"10,674","10,695","21,369","1,583,698",148,"1,587,891",148
1313,10/2012,MCO - Orlando,No,Yes,216,250,466,"1,124",5,"1,238",4
Sub-Total for No,,,,,"10,890","10,945","21,835","1,584,822",145,"1,589,129",145
1314,10/2012,MCO - Orlando,Yes,Yes,682,734,"1,416","6,865",10,"7,351",10
Sub-Total for Yes,,,,,898,984,"1,882","7,989",8,"8,589",8
Sub-Total for MCO - Orlando,,,,,"11,572","11,679","23,251","1,591,687",137,"1,596,480",136
1315,10/2012,MIA - Miami,No,No,"13,895","13,811","27,706","2,182,974",157,"2,185,865",158
1316,10/2012,MIA - Miami,No,Yes,172,144,316,"1,408",8,"1,098",7
Sub-Total for No,,,,,"14,067","13,955","28,022","2,184,382",155,"2,186,963",156
1317,10/2012,MIA - Miami,Yes,Yes,724,768,"1,492","7,694",10,"8,137",10
Sub-Total for Yes,,,,,896,912,"1,808","9,102",10,"9,235",10
Sub-Total for MIA - Miami,,,,,"14,791","14,723","29,514","2,192,076",148,"2,195,100",149
1318,10/2012,MSP - Minneapolis,No,No,"17,111","17,143","34,254","1,715,274",100,"1,718,472",100
1319,10/2012,MSP - Minneapolis,No,Yes,197,207,404,"1,023",5,"1,084",5
Sub-Total for No,,,,,"17,308","17,350","34,658","1,716,297",99,"1,719,556",99
1320,10/2012,MSP - Minneapolis,Yes,Yes,641,638,"1,279","7,011",10,"6,976",10
Sub-Total for Yes,,,,,838,845,"1,683","8,034",9,"8,060",9
Sub-Total for MSP - Minneapolis,,,,,"17,949","17,988","35,937","1,723,308",96,"1,726,532",95
1321,10/2012,ORD - Chicago,No,No,"37,167","37,164","74,331","3,718,581",100,"3,717,345",100
1322,10/2012,ORD - Chicago,No,Yes,210,233,443,"2,351",11,"2,491",10
Sub-Total for No,,,,,"37,377","37,397","74,774","3,720,932",99,"3,719,836",99
1323,10/2012,ORD - Chicago,Yes,Yes,430,418,848,"4,526",10,"4,403",10
Sub-Total for Yes,,,,,640,651,"1,291","6,877",10,"6,894",10
Sub-Total for ORD - Chicago,,,,,"37,807","37,815","75,622","3,725,458",98,"3,724,239",98
1324,10/2012,PHL - Philadelphia,No,No,"16,839","16,756","33,595","1,522,528",90,"1,521,659",90
1325,10/2012,PHL - Philadelphia,No,Yes,183,179,362,"1,099",6,"1,093",6
Sub-Total for No,,,,,"17,022","16,935","33,957","1,523,627",89,"1,522,752",89
1326,10/2012,PHL - Philadelphia,Yes,Yes,782,790,"1,572","8,404",10,"8,495",10
Sub-Total for Yes,,,,,965,969,"1,934","9,503",9,"9,588",9
Sub-Total for PHL - Philadelphia,,,,,"17,804","17,725","35,529","1,532,031",86,"1,531,247",86
1327,10/2012,PHX - Phoenix,No,No,"17,254","16,766","34,020","2,055,354",119,"2,041,155",121
1328,10/2012,PHX - Phoenix,No,Yes,553,427,980,"2,347",4,"1,707",3
Sub-Total for No,,,,,"17,807","17,193","35,000","2,057,701",115,"2,042,862",118
1329,10/2012,PHX - Phoenix,Yes,Yes,633,643,"1,276","6,248",9,"6,361",9
Sub-Total for Yes,,,,,"1,186","1,070","2,256","8,595",7,"8,068",7
Sub-Total for PHX - Phoenix,,,,,"18,440","17,836","36,276","2,063,949",111,"2,049,223",114
1330,10/2012,SEA - Seattle,No,No,"12,487","12,489","24,976","1,613,846",129,"1,612,558",129
1331,10/2012,SEA - Seattle,No,Yes,104,119,223,65,0,66,0
Sub-Total for No,,,,,"12,591","12,608","25,199","1,613,911",128,"1,612,624",127
1332,10/2012,SEA - Seattle,Yes,Yes,60,64,124,648,10,697,10
Sub-Total for Yes,,,,,164,183,347,713,4,763,4
Sub-Total for SEA - Seattle,,,,,"12,651","12,672","25,323","1,614,559",127,"1,613,321",127
1333,10/2012,SFO - San Francisco,No,No,"17,127","17,077","34,204","2,361,131",137,"2,358,237",138
1334,10/2012,SFO - San Francisco,No,Yes,120,123,243,783,6,783,6
Sub-Total for No,,,,,"17,247","17,200","34,447","2,361,914",136,"2,359,020",137
1335,10/2012,SFO - San Francisco,Yes,Yes,928,929,"1,857","10,382",11,"10,403",11
Sub-Total for Yes,,,,,"1,048","1,052","2,100","11,165",10,"11,186",10
