Date,Facility,Total_ops,Total Delays,TMI_to,Dep,Abrn,TMI_from_local,TMI_from_non_local,Total_occ_at,Total_local_dep,Abrn_dest_to_Delays,Class_AC,Class_AT,Class_GA,Class_Mil,Cause_Wx,Cause_Vol,Cause_Equip,Cause_Rwy,Cause_Other,Avg_delay_time,Total_delay_time
01/06/2011,DEN,1810,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
01/06/2011,DFW,1854,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
01/06/2011,DTW,1218,2,2,0,0,0,3,3,0,4,0,2,0,0,0,1,0,0,1,18,36
01/06/2011,EWR,1181,54,5,49,0,0,1,50,49,0,52,2,0,0,0,54,0,0,0,19,1026
01/06/2011,IAH,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/06/2011,JFK,1127,0,0,0,0,11,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0
01/06/2011,LAS,1571,4,4,0,0,1,5,6,1,0,2,1,1,0,0,4,0,0,0,24,96
01/06/2011,LAX,1614,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
01/06/2011,LGA,1176,35,3,32,0,0,0,32,32,2,19,16,0,0,0,35,0,0,0,18,630
01/06/2011,MCO,899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/06/2011,MIA,1129,8,0,8,0,0,0,8,8,1,8,0,0,0,8,0,0,0,0,22,176
01/06/2011,MSP,1211,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
01/06/2011,ORD,2425,10,10,0,0,0,2,2,0,0,5,5,0,0,10,0,0,0,0,28,280
01/06/2011,PHL,1277,5,5,0,0,1,0,1,1,0,5,0,0,0,0,5,0,0,0,26,130
01/06/2011,PHX,1299,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
01/06/2011,SEA,830,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
01/06/2011,SFO,1066,49,49,0,0,0,0,0,0,0,35,12,2,0,49,0,0,0,0,52,2548
Sub-Total for 01/06/2011,,28390,169,80,89,0,13,36,138,102,7,127,39,3,0,67,101,0,0,1,29.37,4964
01/07/2011,ATL,2564,6,6,0,0,0,23,23,0,0,4,2,0,0,0,6,0,0,0,28,168
01/07/2011,BOS,972,62,62,0,0,0,21,21,0,3,50,11,1,0,62,0,0,0,0,42,2604
