Facility,Date,Name,State,Region,Type,Class,Tower_Operations,TRACON_Operations,Total_Operations
ATL,06/16/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2809,,2809
ATL,06/17/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2712,,2712
ATL,06/18/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2326,,2326
ATL,06/19/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2701,,2701
ATL,06/20/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2736,,2736
ATL,06/21/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2731,,2731
ATL,06/22/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2604,,2604
ATL,06/23/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2790,,2790
ATL,06/24/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2526,,2526
ATL,06/25/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2561,,2561
ATL,06/26/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2520,,2520
ATL,06/27/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2819,,2819
ATL,06/28/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2751,,2751
ATL,06/29/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2782,,2782
ATL,06/30/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2788,,2788
ATL,07/01/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2767,,2767
ATL,07/02/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2386,,2386
ATL,07/03/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2175,,2175
ATL,07/04/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2329,,2329
ATL,07/05/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2868,,2868
ATL,07/06/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2767,,2767
ATL,07/07/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2744,,2744
ATL,07/08/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2721,,2721
ATL,07/09/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2435,,2435
ATL,07/10/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2662,,2662
ATL,07/11/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2748,,2748
ATL,07/12/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2659,,2659
ATL,07/13/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2747,,2747
ATL,07/14/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2704,,2704
ATL,07/15/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2784,,2784
ATL,07/16/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2439,,2439
ATL,07/17/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2641,,2641
ATL,07/18/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2769,,2769
ATL,07/19/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2740,,2740
ATL,07/20/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2711,,2711
ATL,07/21/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2837,,2837
ATL,07/22/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2777,,2777
ATL,07/23/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2438,,2438
ATL,07/24/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2628,,2628
ATL,07/25/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2464,,2464
ATL,07/26/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2921,,2921
ATL,07/27/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2778,,2778
ATL,07/28/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2780,,2780
ATL,07/29/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2754,,2754
ATL,07/30/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2424,,2424
ATL,07/31/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2631,,2631
ATL,08/01/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2711,,2711
ATL,08/02/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2824,,2824
ATL,08/03/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2740,,2740
